,Unnamed: 0,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
4041,4041,Horrible Bosses 2,40.0,R,108 min,26 Nov 2014,2014,"Comedy, Crime","$39,939,072",6.3,"146,421",Internet Movie Database,6.3/10,Rotten Tomatoes,34%,Metacritic,40/100
4042,4042,Penguins of Madagascar,53.0,PG,92 min,26 Nov 2014,2014,"Animation, Adventure, Comedy, Family, Sci-Fi","$70,727,688",6.7,"73,514",Internet Movie Database,6.7/10,Rotten Tomatoes,73%,Metacritic,53/100
4044,4044,Wild,76.0,R,115 min,19 Dec 2014,2014,"Biography, Drama","$24,673,716",7.1,"111,359",Internet Movie Database,7.1/10,Rotten Tomatoes,89%,Metacritic,76/100
4046,4046,Inherent Vice,81.0,R,148 min,09 Jan 2015,2014,"Comedy, Crime, Drama, Mystery, Romance","$6,100,613",6.7,"84,821",Internet Movie Database,6.7/10,Rotten Tomatoes,73%,Metacritic,81/100
4048,4048,Top Five,81.0,R,102 min,12 Dec 2014,2014,"Comedy, Romance","$17,002,433",6.4,"24,921",Internet Movie Database,6.4/10,Rotten Tomatoes,86%,Metacritic,81/100
4051,4051,Night at the Museum: Secret of the Tomb,47.0,PG,98 min,19 Dec 2014,2014,"Adventure, Comedy, Family, Fantasy","$81,522,782",6.2,"94,754",Internet Movie Database,6.2/10,Rotten Tomatoes,47%,Metacritic,47/100
4052,4052,Big Eyes,62.0,PG-13,106 min,25 Dec 2014,2014,"Biography, Crime, Drama, Romance","$8,021,168",7.0,"78,723",Internet Movie Database,7.0/10,Rotten Tomatoes,72%,Metacritic,62/100
4053,4053,The Interview,52.0,R,112 min,24 Dec 2014,2014,"Action, Adventure, Comedy","$4,551,688",6.5,"288,979",Internet Movie Database,6.5/10,Rotten Tomatoes,51%,Metacritic,52/100
4054,4054,Into the Woods,69.0,PG,125 min,25 Dec 2014,2014,"Adventure, Comedy, Drama, Fantasy, Musical","$89,789,227",5.9,"124,879",Internet Movie Database,5.9/10,Rotten Tomatoes,71%,Metacritic,69/100
4055,4055,Unbroken,59.0,PG-13,137 min,25 Dec 2014,2014,"Biography, Drama, Sport, War","$70,500,647",7.2,"131,556",Internet Movie Database,7.2/10,Rotten Tomatoes,51%,Metacritic,59/100
4059,4059,Match,62.0,R,92 min,14 Jan 2015,2014,"Comedy, Drama","$30,469",6.7,"1,975",Internet Movie Database,6.7/10,Rotten Tomatoes,76%,Metacritic,62/100
4060,4060,Blackhat,51.0,R,133 min,16 Jan 2015,2015,"Action, Crime, Thriller","$5,686,515",5.4,"49,020",Internet Movie Database,5.4/10,Rotten Tomatoes,33%,Metacritic,51/100
4061,4061,Little Accidents,56.0,Not Rated,105 min,12 May 2016,2014,Drama,"$5,479,639",5.8,"3,307",Internet Movie Database,5.8/10,Rotten Tomatoes,53%,Metacritic,56/100
4062,4062,Paddington,77.0,PG,95 min,16 Jan 2015,2014,"Adventure, Comedy, Family, Fantasy","$85,879,985",7.2,"86,480",Internet Movie Database,7.2/10,Rotten Tomatoes,97%,Metacritic,77/100
